1,79,6448,18,1975-01-08
2,38,6548,98,1984-10-18
3,92,8746,23,2008-07-24
4,59,1801,91,2004-05-08
5,18,7409,84,1981-03-29
6,80,6991,100,2017-07-07
7,49,6328,14,1973-09-05
8,53,5866,61,1972-01-16
9,41,7449,83,1998-12-12
10,94,1002,90,1974-12-16
11,78,9902,96,1986-05-23
12,34,2593,61,1990-02-11
13,53,1488,75,1993-06-25
14,87,8810,52,1975-01-14
15,63,5910,31,1980-01-08
16,70,8352,97,1973-03-11
17,69,4083,54,1998-06-18
18,48,3406,66,2018-11-03
19,74,6730,77,1975-06-14
20,78,6560,51,1977-05-08
21,30,9294,17,1976-10-09
22,50,2516,15,2014-04-10
23,94,9450,91,2012-05-04
24,75,5650,52,1994-03-05
25,65,4084,14,1993-04-12
26,25,5283,74,1988-02-28
27,100,4665,16,1986-07-28
28,30,8162,51,1997-06-10
29,74,7309,35,1988-06-09
30,76,1032,26,2013-03-24
31,13,4332,10,1972-02-18
32,36,8097,73,1996-02-04
33,22,6737,63,1970-09-18
34,4,8615,60,2019-05-29
35,2,3273,12,2005-08-12
36,73,3794,23,2019-03-06
37,35,5909,6,2001-02-16
38,70,223,88,1982-07-30
39,75,5758,46,1993-07-13
40,17,6222,57,2016-04-07
41,19,2485,71,1970-10-01
42,18,559,93,1986-09-13
43,40,3066,70,1989-04-17
44,66,1296,50,1990-10-14
45,11,5340,90,2004-11-13
46,17,3145,71,1974-02-18
47,97,8962,74,2000-08-12
48,28,4180,44,1992-08-14
49,30,6364,78,1993-03-14
50,43,4565,38,2004-09-29
51,6,1726,37,1995-12-11
52,11,9979,87,2010-02-11
53,67,4617,27,2017-12-27
54,70,3961,24,2004-09-11
55,36,3971,60,2014-05-09
56,50,2250,80,2017-06-07
57,44,1492,39,1997-03-07
58,92,8311,35,2002-11-02
59,73,4297,93,1998-08-24
60,61,3958,51,2012-10-17
61,95,2147,66,2007-02-23
62,98,3146,97,2011-10-02
63,41,8965,98,1987-05-06
64,59,487,20,2002-06-26
65,88,5185,72,2002-05-12
66,68,664,53,1998-09-24
67,4,9906,47,2016-09-14
68,2,2378,22,1993-04-29
69,39,7023,25,1977-04-05
70,79,6146,95,1989-09-03
71,38,4120,9,1973-06-15
72,42,2687,65,1988-12-14
73,6,8581,95,1983-05-24
74,78,5022,56,2001-03-31
75,84,6936,71,2017-03-04
76,82,9359,8,1975-03-31
77,63,9406,14,1972-04-28
78,24,8563,79,2008-04-15
79,19,9327,30,2018-05-06
80,9,4160,35,1982-07-07
81,79,7910,52,1990-04-17
82,81,8533,63,2011-02-01
83,71,8259,51,2012-02-29
84,60,2604,93,2016-08-31
85,40,4520,90,1996-11-05
86,36,1304,38,2014-12-07
87,14,9647,78,1983-07-14
88,74,6348,51,2006-07-30
89,4,6013,18,1974-11-07
90,86,6007,12,1998-10-01
91,39,9496,60,2012-10-15
92,20,950,88,1980-07-17
93,6,1141,90,2012-03-09
94,70,1985,9,2012-10-30
95,72,5327,32,2011-05-31
96,97,3730,80,1986-09-15
97,91,129,75,1999-07-04
98,7,7478,74,1979-11-20
99,26,7846,71,1972-07-13
100,53,2002,38,1997-02-06
101,84,3233,50,1971-10-15
102,48,1879,53,1984-07-16
103,62,9254,70,1998-05-21
104,93,9173,62,1974-08-26
105,6,9706,25,1976-03-02
106,62,314,29,2002-03-18
107,32,5757,41,2016-06-08
108,15,4016,23,1992-10-18
109,25,7492,10,1985-10-29
110,96,7613,82,1980-03-04
111,36,7311,19,2015-10-09
112,22,3456,23,1975-01-01
113,79,8367,87,1992-02-20
114,2,4410,75,2004-06-15
115,12,6259,37,1985-02-24
116,40,6980,11,1980-04-23
117,72,5398,14,2008-08-26
118,26,7952,81,1983-05-18
119,36,2050,55,1974-05-09
120,72,250,89,1990-01-25
121,64,7922,84,2006-06-17
122,14,6934,9,1996-01-30
123,29,3675,62,2009-12-12
124,43,9473,45,1973-03-24
125,53,6258,47,2019-08-01
126,65,8791,30,2003-10-13
127,93,6967,25,2012-10-05
128,13,5912,45,2009-03-23
129,98,786,7,1986-12-04
130,38,861,99,1982-01-21
131,36,3105,94,1978-06-27
132,56,2962,32,2014-12-12
133,8,9598,93,2017-08-10
134,68,529,21,1986-05-17
135,38,899,97,2007-08-30
136,54,7055,17,1993-12-06
137,73,423,56,2010-08-12
138,78,236,46,1973-10-29
139,9,1675,21,1985-01-08
140,74,4961,36,2006-01-27
141,95,530,68,1988-05-05
142,49,8836,68,1972-02-28
143,80,8993,30,1991-08-31
144,88,3034,59,2001-11-17
145,44,1087,43,1975-05-16
146,9,1711,89,1984-02-10
147,41,7503,29,1974-12-05
148,16,141,45,2014-05-06
149,85,7824,35,1999-12-13
150,45,9088,10,1970-01-16
151,68,1426,20,1994-01-04
152,24,2519,36,1970-02-13
153,11,5488,37,2009-04-02
154,15,6680,42,2006-06-10
155,47,621,48,2007-08-01
156,49,4659,95,2011-06-27
157,100,4913,30,1998-05-22
158,52,4889,82,2012-03-23
159,17,2585,79,1995-03-05
160,63,3305,25,1987-02-28
161,5,838,46,1970-04-01
162,14,2695,62,2010-01-13
163,20,1551,41,2003-06-05
164,56,4103,50,1982-09-20
165,88,9557,66,1973-09-19
166,20,3450,55,1995-02-27
167,49,3921,76,1983-02-27
168,91,2192,56,2014-04-02
169,19,288,45,1970-07-29
170,10,918,47,1971-02-07
171,54,7077,29,1989-05-17
172,6,2082,58,2008-04-25
173,11,2858,92,1973-06-29
174,17,9602,54,2013-01-16
175,6,6256,96,2003-03-14
176,95,1987,39,1975-02-08
177,87,1097,92,1991-10-06
178,73,1084,91,1989-09-20
179,18,4400,94,1994-02-16
180,39,5374,76,1979-09-17
181,42,7942,98,1982-12-21
182,92,781,75,2018-04-02
183,33,1717,98,2010-01-23
184,24,8453,37,1991-08-23
185,66,2810,11,1994-06-16
186,82,757,80,2010-10-07
187,45,4666,87,2012-12-29
188,6,6760,59,1970-02-17
189,81,9921,97,2012-01-09
190,22,4068,67,2004-12-07
191,50,911,44,1976-12-19
192,91,7608,73,1973-01-19
193,80,5947,45,2011-05-06
194,5,2437,7,2006-04-19
195,95,3696,85,2012-08-09
196,46,6969,100,2007-09-28
197,62,1326,75,1982-02-18
198,88,2838,85,1991-11-21
199,92,9896,17,2010-03-02
200,62,2995,47,1971-07-01
201,9,5501,59,1976-02-23
202,46,722,81,1996-11-21
203,61,2168,14,1999-03-17
204,2,7510,34,1994-05-31
205,57,2155,33,1972-11-21
206,72,470,7,1976-02-12
207,80,6343,67,2016-08-16
208,38,68,34,1978-01-23
209,6,2078,88,2015-11-13
210,19,7630,67,1995-11-09
211,20,8120,76,1999-08-17
212,18,7216,29,1995-06-19
213,67,2671,87,2000-05-17
214,65,7012,85,1974-07-10
215,79,2735,45,2016-04-19
216,46,5334,29,1979-07-01
217,33,6488,77,2001-10-08
218,59,9756,67,2011-12-01
219,15,9381,17,2005-08-27
220,30,2985,63,1976-11-25
221,60,8923,59,1971-02-23
222,13,8622,65,2010-01-05
223,62,7574,66,1991-09-10
224,8,9458,96,1978-01-19
225,28,1017,65,1995-08-06
226,60,5669,92,2009-10-18
227,16,4505,85,1984-08-16
228,61,4481,90,2005-06-14
229,85,4490,47,2005-11-26
230,22,4812,26,1977-10-24
231,83,6817,50,2006-09-15
232,98,9368,72,2014-08-21
233,91,9127,53,1998-04-27
234,11,468,24,1994-08-05
235,29,9520,20,1970-07-12
236,69,459,5,2003-04-08
237,20,143,59,1988-01-22
238,31,5145,17,2009-02-25
239,61,6622,19,2016-07-23
240,96,5615,47,1990-12-18
241,47,2446,96,2004-02-14
242,95,2180,24,2013-05-21
243,34,4423,12,1974-10-29
244,19,5666,27,1986-08-04
245,44,6580,45,1979-07-15
246,13,4555,24,1993-08-06
247,29,1397,14,1983-02-23
248,30,4116,92,2014-08-10
249,11,110,35,1995-10-11
250,15,6962,45,1994-11-03
251,50,4133,11,1983-10-27
252,57,8799,97,1981-04-11
253,59,878,79,1999-02-26
254,26,5169,16,1996-08-21
255,5,9366,54,1978-06-05
256,17,2868,77,1986-06-24
257,89,1277,69,1978-07-11
258,31,9369,7,2002-02-05
259,20,9987,24,1997-04-02
260,92,3858,54,2013-01-29
261,28,2486,63,2018-12-21
262,15,961,94,1975-07-01
263,83,5606,95,1978-06-09
264,94,7449,60,1992-02-07
265,93,1294,26,2011-12-19
266,24,5201,47,1974-08-31
267,72,6259,56,1990-02-14
268,31,1614,54,2010-07-28
269,33,4237,100,1988-12-21
270,76,3972,12,1971-05-22
271,65,2823,16,2018-08-15
272,89,1238,22,2010-10-29
273,8,9189,67,1999-04-25
274,21,9612,86,1970-08-01
275,96,1517,52,2006-05-31
276,41,6934,56,1986-04-21
277,25,6801,58,2000-03-02
278,42,5334,22,1980-04-29
279,88,9209,73,2013-02-25
280,85,6596,100,1976-09-13
281,29,1686,99,2012-07-08
282,8,6877,85,2019-07-26
283,34,4097,81,1990-06-27
284,93,2205,86,1996-11-16
285,45,4519,27,1997-11-16
286,66,9205,8,1994-10-14
287,95,2114,35,1975-02-03
288,25,2696,60,1991-04-15
289,34,8962,14,2012-04-19
290,14,4544,23,1980-02-17
291,85,6686,69,2012-09-03
292,95,700,76,1974-05-06
293,64,8800,93,2002-04-07
294,3,144,43,1995-05-13
295,77,7906,86,1978-05-07
296,6,6769,61,1979-06-13
297,69,6399,96,2007-12-27
298,53,6426,68,2001-05-07
299,26,2005,82,1988-10-21
300,58,1113,95,2001-09-15
301,79,8082,7,1997-05-04
302,17,4933,19,1974-05-11
303,82,5796,58,1992-03-06
304,16,7695,5,1970-06-13
305,70,9291,54,2009-09-15
306,57,5736,25,2004-12-12
307,50,5709,75,1996-12-22
308,2,197,64,1989-05-25
309,23,1794,17,2004-10-16
310,6,9981,80,1981-02-22
311,31,1199,90,1984-02-28
312,21,8440,41,1994-09-16
313,70,5250,44,1980-11-05
314,61,8427,58,1978-12-08
315,74,6444,100,1977-04-30
316,11,8198,37,2009-09-19
317,84,4364,88,2014-10-03
318,74,8027,26,1987-05-29
319,58,1736,48,1979-01-16
320,70,7867,35,2005-12-15
321,40,331,73,2001-07-04
322,3,3379,74,2013-09-19
323,52,6668,56,1995-02-21
324,21,1291,88,1976-10-07
325,66,8499,22,1988-08-30
326,65,3867,32,1987-12-19
327,73,5441,12,1989-03-20
328,58,742,14,2018-11-29
329,58,4706,90,2016-11-04
330,67,7048,43,1980-04-23
331,63,9045,13,2000-02-19
332,41,5705,55,2002-11-06
333,57,7076,18,1984-02-08
334,96,9726,74,1987-06-02
335,85,1378,57,1997-05-04
336,30,1311,28,1970-03-30
337,93,3218,10,1991-01-23
338,8,4455,78,1988-05-16
339,68,2682,7,1988-08-20
340,63,6554,76,1992-03-25
341,79,1757,30,2009-12-12
342,67,8041,7,1983-10-01
343,49,5759,51,1978-02-05
344,30,7548,9,2005-03-23
345,83,1202,29,1990-04-07
346,89,8020,89,1997-05-15
347,77,2490,9,2013-06-16
348,93,1703,18,1976-12-26
349,25,3996,81,2014-02-14
350,98,5907,33,2009-07-02
351,78,1648,70,1998-02-14
352,13,7666,5,2006-08-19
353,53,6398,46,2000-09-04
354,26,1623,5,1990-12-31
355,36,8236,33,1988-07-03
356,2,9954,77,2009-08-23
357,5,9939,58,1997-12-28
358,21,917,9,1980-12-28
359,87,9346,22,1999-12-12
360,6,6862,97,1987-07-15
361,10,4637,25,1976-09-15
362,27,2373,87,1992-11-18
363,22,7720,45,1998-01-25
364,56,2990,29,1989-02-26
365,17,4374,30,1983-01-10
366,73,3399,79,1994-06-25
367,79,5919,98,2004-12-05
368,43,1961,43,1996-03-15
369,85,9793,91,2013-11-28
370,75,290,57,1983-10-02
371,12,5434,67,2007-10-19
372,37,2368,69,1988-12-25
373,8,2327,78,2010-04-02
374,55,2242,76,1987-04-18
375,25,298,20,1996-11-07
376,86,2984,84,1999-02-15
377,45,9618,16,1970-05-26
378,37,2124,71,1976-12-31
379,29,8720,36,2007-06-10
380,99,9245,65,1991-08-06
381,9,6350,74,1983-07-17
382,7,7881,69,2016-10-22
383,100,2018,54,1985-01-14
384,39,6778,71,2016-03-01
385,98,5506,72,1972-06-27
386,68,7700,20,1993-01-18
387,65,2858,90,2001-08-18
388,84,6105,52,1981-12-27
389,3,377,62,1979-09-18
390,64,320,94,2015-11-17
391,91,2822,83,2009-11-09
392,41,3151,33,1978-09-29
393,77,8335,48,1998-02-23
394,17,3524,84,2011-03-03
395,77,8679,19,1988-12-05
396,60,6900,78,1973-09-25
397,42,4876,37,2010-07-21
398,47,1670,28,1983-02-10
399,25,3011,8,1992-10-09
400,37,8728,85,1990-04-22
401,66,5288,30,2017-08-06
402,95,764,96,1993-08-31
403,49,8971,9,1992-08-03
404,98,5545,50,2000-05-27
405,40,6846,99,2015-10-23
406,31,5530,72,1997-04-10
