1,9917,9640,15,1996-07-04
2,4344,8919,1,1979-11-28
3,9852,8765,9,1991-11-25
4,4863,4600,6,1987-11-08
5,9192,2992,17,2015-11-29
6,8230,4448,9,2002-12-18
7,3192,1401,3,1987-09-15
8,4892,7255,15,2002-04-13
9,44,3503,20,2019-02-09
10,5766,8567,2,1992-10-19
11,5854,439,5,1994-12-03
12,4710,458,3,2002-12-07
13,7242,6528,2,1998-02-06
14,3772,4659,5,1974-04-07
15,7375,5366,17,1985-04-18
16,7414,3144,15,1977-05-20
17,523,397,6,1984-01-09
18,2499,8168,11,2001-02-16
19,4691,3572,2,2016-08-12
20,604,5451,20,1990-03-13
21,1697,7367,1,1993-01-14
22,3316,4197,6,2019-08-11
23,7503,5424,12,2007-06-27
24,4395,6065,11,1999-11-29
25,1721,5101,16,1996-09-03
26,7782,3736,9,1998-03-27
27,1910,4988,17,1995-03-06
28,6381,5981,6,2015-10-01
29,7491,9844,8,2007-09-21
30,2210,584,14,1995-11-29
31,9102,7177,17,2016-04-02
32,9978,3843,20,1993-10-31
33,4602,2428,3,2010-01-31
34,9799,9776,12,1994-10-24
35,2658,616,15,2004-11-16
36,679,9752,5,2005-01-18
37,7379,4366,2,2002-08-19
38,2382,6333,12,1987-09-23
39,7372,2176,14,1971-11-14
40,1843,6640,15,2006-11-14
41,6455,8179,4,1994-11-27
42,1312,1340,11,1982-04-13
43,1494,6788,16,1986-12-04
44,9408,3091,20,1995-12-13
45,116,1127,13,2000-08-08
46,30,5160,12,1972-02-18
47,5048,9526,14,1971-06-04
48,3353,7730,3,2004-05-31
49,2768,9995,12,1989-09-06
50,678,188,5,1994-02-01
51,6585,2570,11,1998-07-13
52,1461,4284,8,2012-03-13
53,5300,5521,5,1988-10-15
54,6572,7630,14,1997-05-16
55,2403,5481,8,2001-01-22
56,9125,7331,13,1980-06-01
57,1740,9108,14,1982-04-07
58,532,7263,14,2016-08-20
59,1764,5863,5,1970-10-28
60,8287,335,4,2000-09-28
61,9342,9131,3,1975-01-18
62,6001,8357,7,1999-04-04
63,4929,5933,19,2002-11-01
64,5057,7368,12,1986-05-05
65,6477,7390,12,1994-04-22
66,9055,5717,9,1985-11-28
67,9545,7280,17,1977-08-08
68,7715,2196,6,2007-08-06
69,7295,5816,6,1990-07-12
70,6029,433,13,2019-10-25
71,1011,7631,15,2011-01-15
72,5009,3515,16,2017-07-25
73,749,470,15,1979-12-09
74,875,1276,1,1995-05-03
75,5741,935,19,1994-10-22
76,5137,6466,6,2013-04-04
77,9780,110,19,1996-07-19
78,1691,1922,5,2016-05-12
79,2386,9396,10,2017-05-13
80,6741,2041,17,1980-07-10
81,9466,793,5,2000-12-23
82,5315,8779,18,1996-01-16
83,3574,786,7,1979-04-22
84,1044,8352,9,1997-12-18
85,561,2229,17,2009-04-18
86,7966,9702,19,1984-06-22
87,8693,9171,10,2016-03-24
88,6778,6416,14,1999-08-20
89,3875,2128,2,1994-11-06
90,6240,2458,8,1999-09-16
91,532,603,11,2012-06-20
92,4868,8104,2,2018-03-31
93,6247,6619,11,1980-06-16
94,532,7907,5,1983-01-27
95,8639,1313,2,1982-11-05
96,2876,8333,18,2004-09-22
97,9171,6202,15,1977-06-27
98,9190,7377,6,1971-02-23
99,8770,7179,16,1976-04-21
100,8413,8093,19,2009-08-15
101,1038,7835,3,1970-09-23
102,2233,7247,18,1979-07-15
103,9445,7932,8,1990-12-31
104,3415,5660,20,1995-10-25
105,5988,548,6,2003-09-04
106,5964,3650,16,2007-08-07
107,7964,7690,10,1988-10-26
108,2754,6591,6,2011-07-16
109,8818,9168,11,1984-03-26
110,1406,3142,17,2010-06-07
111,1561,2482,14,1975-09-06
112,7857,7415,12,1976-12-26
113,9912,701,17,1998-05-19
114,407,1815,12,1980-10-10
115,6280,8031,7,2016-05-15
116,4162,8612,16,1991-03-07
117,6952,5393,11,1980-07-19
118,5982,3061,10,1993-09-01
119,9751,9597,9,1970-07-01
120,4632,9028,16,2017-12-21
121,8931,3376,6,1979-07-27
122,6651,4245,19,2011-05-02
123,3277,7213,14,1998-01-15
124,4706,9192,1,1993-06-06
125,3919,3676,7,1999-03-05
126,8213,2294,3,1995-02-16
127,5169,5671,20,1981-02-12
128,2524,9453,1,1985-03-30
129,5938,2458,12,2005-10-08
130,6717,6332,10,1993-03-08
131,9230,322,20,2018-09-12
132,4417,930,2,2001-10-31
133,6112,2184,8,1981-01-26
134,2535,1929,2,2011-05-16
